Time,SocketID,pktFlowWindow,pktCongestionWindow,pktFlightSize,msRTT,mbpsBandwidth,mbpsMaxBW,pktSent,pktSndLoss,pktSndDrop,pktRetrans,byteSent,byteSndDrop,mbpsSendRate,usPktSndPeriod,pktRecv,pktRcvLoss,pktRcvDrop,pktRcvRetrans,pktRcvBelated,byteRecv,byteRcvLoss,byteRcvDrop,mbpsRecvRate,RCVLATENCYms,pktSndFilterExtra,pktRcvFilterExtra,pktRcvFilterSupply,pktRcvFilterLoss
1070,446922592,7905,8192,22,12.629,1909.03,1000,995,0,0,0,1353200,0,10.1165,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
2129,446922592,7905,8192,13,12.665,2966.53,1000,999,0,0,0,1358640,0,10.2644,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
3187,446922592,7910,8192,18,12.636,2581.84,1000,1002,0,0,0,1362720,0,10.2999,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
4232,446922592,7905,8192,19,12.649,2282.72,1000,994,0,0,0,1351840,0,10.3467,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
5289,446922592,7905,8192,23,12.548,3405.84,1000,1006,0,0,0,1368160,0,10.3594,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
6340,446922592,7910,8192,15,12.703,3629.78,1000,999,0,0,0,1358640,0,10.3361,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
7396,446922592,7905,8192,23,12.595,2897.51,1000,1000,0,0,0,1360000,0,10.3078,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
8449,446922592,7915,8192,23,12.776,4629.62,1000,1002,0,0,0,1362720,0,10.3526,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
9500,446922592,7914,8192,22,12.985,3471.98,1000,997,0,0,0,1355920,0,10.3189,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
10549,446922592,7905,8192,23,12.735,3169.44,1000,998,0,0,0,1357280,0,10.3523,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
11599,446922592,7910,8192,19,12.699,3553.68,1000,1002,0,0,0,1362720,0,10.3836,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
12658,446922592,7907,8192,23,12.593,4779.6,1000,1001,0,0,0,1361360,0,10.2789,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
13706,446922592,7910,8192,18,12.718,4082.99,1000,1002,0,0,0,1362720,0,10.4031,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
14766,446922592,7912,8192,20,12.648,2662.44,1000,999,0,0,0,1358640,0,10.2549,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
15817,446922592,7914,8192,22,12.857,2401.19,1000,1000,0,0,0,1360000,0,10.3568,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
16870,446922592,7914,8192,18,12.605,3482.89,1000,998,0,0,0,1357280,0,10.3107,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
17922,446922592,7905,8192,15,12.559,4291.79,1000,1003,0,0,0,1364080,0,10.3676,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
18972,446922592,7905,8192,18,12.504,3073.96,1000,991,0,0,0,1347760,0,10.2683,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
20025,446922592,7915,8192,19,12.618,4886.77,1000,1003,0,0,0,1364080,0,10.3658,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
21077,446922592,7911,8192,18,12.656,2854.55,1000,1006,0,0,0,1368160,0,10.4071,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
22133,446922592,7907,8192,22,12.628,3621.82,1000,997,0,0,0,1355920,0,10.2746,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
23183,446922592,7910,8192,26,12.654,3627.23,1000,1001,0,0,0,1361360,0,10.3705,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
24238,446922592,7910,8192,23,12.609,3876.25,1000,999,0,0,0,1358640,0,10.3055,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
25287,446922592,7909,8192,22,12.63,2620.03,1000,997,0,0,0,1355920,0,10.3391,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
26347,446922592,7906,8192,23,12.581,3940.12,1000,1007,0,0,0,1369520,0,10.3306,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
27394,446922592,7910,8192,23,12.578,4036.96,1000,993,0,0,0,1350480,0,10.3172,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
28455,446922592,7900,8192,18,12.587,4405.92,1000,1007,0,0,0,1369520,0,10.3342,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
29504,446922592,7906,8192,19,12.681,4632.31,1000,997,0,0,0,1355920,0,10.3362,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
30554,446922592,7910,8192,18,12.843,4183.52,1000,996,0,0,0,1354560,0,10.3225,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
31614,446922592,7914,8192,18,12.696,3712.94,1000,1007,0,0,0,1369520,0,10.339,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
32661,446922592,7914,8192,22,12.678,2423.7,1000,997,0,0,0,1355920,0,10.3553,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
33719,446922592,7905,8192,18,12.614,3104.78,1000,1002,0,0,0,1362720,0,10.3001,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
34767,446922592,7905,8192,13,12.739,3504.34,1000,998,0,0,0,1357280,0,10.3655,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
35825,446922592,7905,8192,18,12.787,4400.14,1000,1002,0,0,0,1362720,0,10.3074,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
36872,446922592,7914,8192,22,12.897,2786.58,1000,997,0,0,0,1355920,0,10.3536,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
37928,446922592,7907,8192,20,12.585,3932.75,1000,1002,0,0,0,1362720,0,10.33,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
38975,446922592,7905,8192,14,12.798,3853.36,1000,998,0,0,0,1357280,0,10.3702,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
40031,446922592,7910,8192,23,12.608,3204.3,1000,1002,0,0,0,1362720,0,10.3211,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
41081,446922592,7915,8192,18,12.718,2675.03,1000,1002,0,0,0,1362720,0,10.385,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
42138,446922592,7915,8192,18,12.562,3510.26,1000,997,0,0,0,1355920,0,10.2554,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
43189,446922592,7914,8192,17,12.572,4194.94,1000,997,0,0,0,1355920,0,10.3279,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
44239,446922592,7906,8192,20,12.688,3612.26,1000,999,0,0,0,1358640,0,10.353,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
45299,446922592,7904,8192,18,12.792,3153.23,1000,1006,0,0,0,1368160,0,10.3267,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
46349,446922592,7905,8192,18,12.624,4901.28,1000,997,0,0,0,1355920,0,10.3233,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
47399,446922592,7917,8192,22,12.757,4004.42,1000,999,0,0,0,1358640,0,10.3564,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
48455,446922592,7915,8192,23,12.861,3530,1000,1004,0,0,0,1365440,0,10.3392,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
49508,446922592,7904,8192,17,12.614,3725.76,1000,997,0,0,0,1355920,0,10.3027,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
50557,446922592,7909,8192,22,12.687,4080.41,1000,998,0,0,0,1357280,0,10.356,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
51610,446922592,7910,8192,23,12.683,3622.25,1000,1002,0,0,0,1362720,0,10.3523,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
52665,446922592,7910,8192,23,12.734,2810.08,1000,1002,0,0,0,1362720,0,10.3292,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
53714,446922592,7905,8192,18,12.633,4311.78,1000,1002,0,0,0,1362720,0,10.3956,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
54771,446922592,7910,8192,14,12.603,3126.89,1000,998,0,0,0,1357280,0,10.2729,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
55826,446922592,7909,8192,22,12.708,3021.49,1000,1001,0,0,0,1361360,0,10.3264,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
56876,446922592,7910,8192,23,12.779,3252.66,1000,998,0,0,0,1357280,0,10.3365,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
57930,446922592,7908,8192,23,12.626,2912.14,1000,1002,0,0,0,1362720,0,10.3428,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
58976,446922592,7911,8192,24,12.583,3232.15,1000,993,0,0,0,1350480,0,10.3285,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
60031,446922592,7910,8192,23,12.646,3022.98,1000,1001,0,0,0,1361360,0,10.327,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
61086,446922592,7906,8192,18,12.621,3851.23,1000,1002,0,0,0,1362720,0,10.326,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
62134,446922592,7916,8192,24,12.63,3536.11,1000,998,0,0,0,1357280,0,10.361,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
63192,446922592,7906,8192,19,12.665,3500.63,1000,1002,0,0,0,1362720,0,10.3045,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
64241,446922592,7908,8192,23,12.669,3311.9,1000,997,0,0,0,1355920,0,10.3415,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
65294,446922592,7915,8192,18,12.676,3297.52,1000,1006,0,0,0,1368160,0,10.4001,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
66356,446922592,7908,8192,23,12.692,2510.95,1000,1002,0,0,0,1362720,0,10.262,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
67400,446922592,7907,8192,15,12.612,4578.6,1000,993,0,0,0,1350480,0,10.3459,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
68452,446922592,7907,8192,17,12.647,2841.66,1000,1007,0,0,0,1369520,0,10.4133,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
69504,446922592,7914,8192,21,12.67,3079.28,1000,1000,0,0,0,1360000,0,10.3438,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
70566,446922592,7910,8192,18,13.088,4771.43,1000,999,0,0,0,1358640,0,10.2385,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
71616,446922592,7909,8192,19,12.651,3154.63,1000,997,0,0,0,1355920,0,10.3307,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
72667,446922592,7906,8192,19,12.647,2520.43,1000,998,0,0,0,1357280,0,10.3325,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
73719,446922592,7915,8192,18,12.734,3326.6,1000,1006,0,0,0,1368160,0,10.4024,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
74768,446922592,7910,8192,18,12.575,3075.73,1000,998,0,0,0,1357280,0,10.3503,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
75823,446922592,7905,8192,23,12.616,4004.95,1000,997,0,0,0,1355920,0,10.2778,10,0,0,0,0,0,0,0,0,0,300,0,0,0,0
