Time,SocketID,pktFlowWindow,pktCongestionWindow,pktFlightSize,msRTT,mbpsBandwidth,mbpsMaxBW,pktSent,pktSndLoss,pktSndDrop,pktRetrans,byteSent,byteSndDrop,mbpsSendRate,usPktSndPeriod,pktRecv,pktRcvLoss,pktRcvDrop,pktRcvRetrans,pktRcvBelated,byteRecv,byteRcvLoss,byteRcvDrop,mbpsRecvRate,RCVLATENCYms,pktSndFilterExtra,pktRcvFilterExtra,pktRcvFilterSupply,pktRcvFilterLoss
1404,547568444,8105,8192,32,42.379,1530.7,1000,998,0,0,0,1357280,0,7.73173,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
2719,547568444,8103,8192,40,41.425,1333.07,1000,999,0,0,0,1358640,0,8.26467,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
4036,547568444,8105,8192,37,41.661,1277.32,1000,1000,0,0,0,1360000,0,8.26081,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
5348,547568444,8104,8192,33,41.635,1274.8,1000,999,0,0,0,1358640,0,8.2858,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
6660,547568444,8105,8192,39,41.556,1131.41,1000,1002,0,0,0,1362720,0,8.30958,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
7980,547568444,8103,8192,31,42.722,1242.22,1000,997,0,0,0,1355920,0,8.21751,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
9300,547568444,8103,8192,45,41.639,1324.19,1000,1002,0,0,0,1362720,0,8.25659,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
10608,547568444,8102,8192,38,42.844,1310.52,1000,1001,0,0,0,1361360,0,8.3291,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
11932,547568444,8104,8192,39,41.466,1686.31,1000,999,0,0,0,1358640,0,8.20861,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
13246,547568444,8105,8192,39,41.645,1248.19,1000,999,0,0,0,1358640,0,8.2717,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
14563,547568444,8101,8192,30,41.505,1576.08,1000,1000,0,0,0,1360000,0,8.26173,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
15873,547568444,8102,8192,38,40.882,1444.92,1000,996,0,0,0,1354560,0,8.27152,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
17192,547568444,8104,8192,38,40.856,1282.03,1000,1002,0,0,0,1362720,0,8.26516,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
18505,547568444,8104,8192,32,42.335,1194.66,1000,999,0,0,0,1358640,0,8.27835,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
19820,547568444,8101,8192,37,43.107,1583.54,1000,1005,0,0,0,1366800,0,8.31547,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
21139,547568444,8102,8192,38,41.501,1435.2,1000,996,0,0,0,1354560,0,8.21431,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
22460,547568444,8104,8192,30,41.051,1148.83,1000,1003,0,0,0,1364080,0,8.26196,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
23771,547568444,8103,8192,38,41.235,1559.05,1000,997,0,0,0,1355920,0,8.27321,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
25089,547568444,8104,8192,38,41.387,1477.86,1000,1001,0,0,0,1361360,0,8.26351,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
26400,547568444,8104,8192,32,40.981,1541.34,1000,997,0,0,0,1355920,0,8.27455,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
27721,547568444,8104,8192,38,41.158,1440.18,1000,1003,0,0,0,1364080,0,8.26002,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
29040,547568444,8105,8192,31,41.036,1115.18,1000,1003,0,0,0,1364080,0,8.27426,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
30355,547568444,8103,8192,39,41.279,1252.99,1000,999,0,0,0,1358640,0,8.26481,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
31671,547568444,8101,8192,37,41.446,1207.2,1000,1000,0,0,0,1360000,0,8.26685,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
32981,547568444,8104,8192,41,41.433,1354.04,1000,995,0,0,0,1353200,0,8.26403,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
34304,547568444,8104,8192,37,41.269,1446.56,1000,1005,0,0,0,1366800,0,8.26512,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
35619,547568444,8100,8192,29,41.485,1395.73,1000,1000,0,0,0,1360000,0,8.27483,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
36932,547568444,8099,8192,26,41.104,1223.29,1000,998,0,0,0,1357280,0,8.2692,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
38245,547568444,8102,8192,29,41.213,1255.07,1000,998,0,0,0,1357280,0,8.26984,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
39567,547568444,8102,8192,39,41.111,1423.91,1000,1004,0,0,0,1365440,0,8.26188,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
40885,547568444,8105,8192,31,41.787,1181.3,1000,1001,0,0,0,1361360,0,8.26415,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
42195,547568444,8105,8192,32,41.393,1341.61,1000,997,0,0,0,1355920,0,8.28041,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
43510,547568444,8103,8192,38,41.1,1018.6,1000,998,0,0,0,1357280,0,8.25607,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
44828,547568444,8104,8192,33,41.531,1339.07,1000,1003,0,0,0,1364080,0,8.28092,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
46149,547568444,8105,8192,32,41.651,1188.89,1000,1002,0,0,0,1362720,0,8.2527,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
47459,547568444,8103,8192,38,42.311,1561.67,1000,996,0,0,0,1354560,0,8.27171,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
48773,547568444,8105,8192,39,41.397,1216.2,1000,998,0,0,0,1357280,0,8.2635,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
50087,547568444,8107,8192,38,42.052,1351.21,1000,999,0,0,0,1358640,0,8.26902,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
51405,547568444,8102,8192,38,41.162,1297.24,1000,1006,0,0,0,1368160,0,8.30816,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
52721,547568444,8103,8192,31,42.167,1206.8,1000,996,0,0,0,1354560,0,8.23394,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
54036,547568444,8104,8192,37,40.894,1303.18,1000,998,0,0,0,1357280,0,8.25641,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
55357,547568444,8102,8192,39,41.294,971.076,1000,1004,0,0,0,1365440,0,8.26934,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
56676,547568444,8103,8192,39,41.771,1323.95,1000,1002,0,0,0,1362720,0,8.26538,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
57993,547568444,8103,8192,29,41.032,1668.9,1000,1001,0,0,0,1361360,0,8.26985,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
59307,547568444,8103,8192,38,40.861,1268.32,1000,999,0,0,0,1358640,0,8.27118,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
60618,547568444,8101,8192,30,41.847,1215.36,1000,996,0,0,0,1354560,0,8.26647,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
61940,547568444,8103,8192,29,41.099,1376.78,1000,1004,0,0,0,1365440,0,8.26273,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
63252,547568444,8104,8192,37,41.098,1347.04,1000,997,0,0,0,1355920,0,8.26749,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
64565,547568444,8104,8192,46,41.198,1094.41,1000,998,0,0,0,1357280,0,8.26912,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
65884,547568444,8103,8192,37,41.133,1331.23,1000,1002,0,0,0,1362720,0,8.2655,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
67201,547568444,8105,8192,38,41.1,1200.01,1000,1001,0,0,0,1361360,0,8.26946,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
68520,547568444,8103,8192,37,42.406,1336.16,1000,1002,0,0,0,1362720,0,8.2654,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
69830,547568444,8103,8192,31,41.374,1280.98,1000,996,0,0,0,1354560,0,8.27272,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
71152,547568444,8104,8192,30,41.048,1370.46,1000,1004,0,0,0,1365440,0,8.26276,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
72460,547568444,8106,8192,33,41.182,1375.78,1000,996,0,0,0,1354560,0,8.28468,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
73780,547568444,8103,8192,37,41.091,1395.9,1000,1001,0,0,0,1361360,0,8.24987,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
75095,547568444,8103,8192,32,41.791,517.908,1000,1000,0,0,0,1360000,0,8.27451,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
76410,547568444,8100,8192,47,41.251,1203.37,1000,999,0,0,0,1358640,0,8.26432,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
77725,547568444,8091,8192,33,42.161,1301.12,1000,1005,0,0,0,1366800,0,8.31653,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
