Time,SocketID,pktFlowWindow,pktCongestionWindow,pktFlightSize,msRTT,mbpsBandwidth,mbpsMaxBW,pktSent,pktSndLoss,pktSndDrop,pktRetrans,byteSent,byteSndDrop,mbpsSendRate,usPktSndPeriod,pktRecv,pktRcvLoss,pktRcvDrop,pktRcvRetrans,pktRcvBelated,byteRecv,byteRcvLoss,byteRcvDrop,mbpsRecvRate,RCVLATENCYms,pktSndFilterExtra,pktRcvFilterExtra,pktRcvFilterSupply,pktRcvFilterLoss
1910,496577882,7815,8192,38,43.102,930.084,1000,997,0,0,0,1355920,0,5.6792,10,0,0,0,0,0,0,0,0,0,500,0,0,0,0
3229,496577882,7813,8192,34,50.533,1622.95,1000,998,0,0,0,1357280,0,8.23198,10,0,0,0,0,0,0,0,0,0,500,0,0,0,0
4543,496577882,7815,8192,34,45.25,1359.66,1000,999,0,0,0,1358640,0,8.27189,10,0,0,0,0,0,0,0,0,0,500,0,0,0,0
5863,496577882,7813,8192,32,43.424,1096.28,1000,1002,0,0,0,1362720,0,8.25895,10,0,0,0,0,0,0,0,0,0,500,0,0,0,0
7176,496577882,7813,8192,39,43.383,1266.07,1000,997,0,0,0,1355920,0,8.25993,10,0,0,0,0,0,0,0,0,0,500,0,0,0,0
8494,496577882,7812,8192,39,43.606,1013.21,1000,1002,0,0,0,1362720,0,8.27193,10,0,0,0,0,0,0,0,0,0,500,0,0,0,0
9807,496577882,7813,8192,41,43.25,1069.6,1000,999,0,0,0,1358640,0,8.27756,10,0,0,0,0,0,0,0,0,0,500,0,0,0,0
11122,496577882,7812,8192,48,44.582,1198.64,1000,999,0,0,0,1358640,0,8.26394,10,0,0,0,0,0,0,0,0,0,500,0,0,0,0
12437,496577882,7814,8192,40,43.172,1009.06,1000,998,0,0,0,1357280,0,8.25982,10,0,0,0,0,0,0,0,0,0,500,0,0,0,0
13756,496577882,7810,8192,35,44.215,1257.78,1000,1006,0,0,0,1368160,0,8.29277,10,0,0,0,0,0,0,0,0,0,500,0,0,0,0
15074,496577882,7814,8192,32,45.009,1307.45,1000,999,0,0,0,1358640,0,8.24675,10,0,0,0,0,0,0,0,0,0,500,0,0,0,0
16387,496577882,7813,8192,50,45.224,1336.3,1000,997,0,0,0,1355920,0,8.26555,10,0,0,0,0,0,0,0,0,0,500,0,0,0,0
17708,496577882,7820,8192,47,44.602,1271.76,1000,1004,0,0,0,1365440,0,8.27102,10,0,0,0,0,0,0,0,0,0,500,0,0,0,0
19022,496577882,7816,8192,40,44.39,935.076,1000,998,0,0,0,1357280,0,8.26236,10,0,0,0,0,0,0,0,0,0,500,0,0,0,0
20334,496577882,7814,8192,47,45.292,1155.64,1000,997,0,0,0,1355920,0,8.26695,10,0,0,0,0,0,0,0,0,0,500,0,0,0,0
21649,496577882,7814,8192,39,44.372,694.956,1000,1006,0,0,0,1368160,0,8.32549,10,0,0,0,0,0,0,0,0,0,500,0,0,0,0
22966,496577882,7815,8192,41,43.227,1164.71,1000,994,0,0,0,1351840,0,8.21063,10,0,0,0,0,0,0,0,0,0,500,0,0,0,0
24289,496577882,7810,8192,29,43.762,1038.85,1000,1006,0,0,0,1368160,0,8.27397,10,0,0,0,0,0,0,0,0,0,500,0,0,0,0
