Time,SocketID,pktFlowWindow,pktCongestionWindow,pktFlightSize,msRTT,mbpsBandwidth,mbpsMaxBW,pktSent,pktSndLoss,pktSndDrop,pktRetrans,byteSent,byteSndDrop,mbpsSendRate,usPktSndPeriod,pktRecv,pktRcvLoss,pktRcvDrop,pktRcvRetrans,pktRcvBelated,byteRecv,byteRcvLoss,byteRcvDrop,mbpsRecvRate,RCVLATENCYms,pktSndFilterExtra,pktRcvFilterExtra,pktRcvFilterSupply,pktRcvFilterLoss
35811,797161664,679347,679347,0,51.51,1389.17,1000,0,0,0,0,0,0,0,12,33940,0,0,0,0,46158400,0,0,10.3115,1000,0,0,0,0
36865,797161664,679347,679347,0,46.59,1357.97,1000,0,0,0,0,0,0,0,12,34946,0,0,0,0,47526560,0,0,10.3135,1000,0,0,0,0
37916,797161664,679347,679347,0,43.783,1398.61,1000,0,0,0,0,0,0,0,12,35943,0,0,0,0,48882480,0,0,10.3138,1000,0,0,0,0
38970,797161664,679347,679347,0,44.878,1584.91,1000,0,0,0,0,0,0,0,12,36945,0,0,0,0,50245200,0,0,10.3145,1000,0,0,0,0
40028,797161664,679347,679347,0,44.819,1525.19,1000,0,0,0,0,0,0,0,12,37952,0,0,0,0,51614720,0,0,10.3156,1000,0,0,0,0
41076,797161664,679347,679347,0,43.325,1298.71,1000,0,0,0,0,0,0,0,12,38945,0,0,0,0,52965200,0,0,10.3155,1000,0,0,0,0
42133,797161664,679347,679347,0,43.626,1563.84,1000,0,0,0,0,0,0,0,12,39951,0,0,0,0,54333360,0,0,10.3165,1000,0,0,0,0
43183,797161664,679347,679347,0,43.577,1174.67,1000,0,0,0,0,0,0,0,12,40949,0,0,0,0,55690640,0,0,10.317,1000,0,0,0,0
44232,797161664,679347,679347,0,43.165,1552.57,1000,0,0,0,0,0,0,0,12,41941,0,0,0,0,57039760,0,0,10.3164,1000,0,0,0,0
45291,797161664,679347,679347,0,43.15,1213.75,1000,0,0,0,0,0,0,0,12,42948,0,0,0,0,58409280,0,0,10.317,1000,0,0,0,0
46340,797161664,679347,679347,0,43.147,1462.76,1000,0,0,0,0,0,0,0,12,43946,0,0,0,0,59766560,0,0,10.3178,1000,0,0,0,0
47400,797161664,679347,679347,0,43.25,1353.59,1000,0,0,0,0,0,0,0,12,44953,0,0,0,0,61136080,0,0,10.3182,1000,0,0,0,0
48447,797161664,679347,679347,0,42.942,1503.49,1000,0,0,0,0,0,0,0,12,45950,0,0,0,0,62492000,0,0,10.3191,1000,0,0,0,0
49505,797161664,679347,679347,0,42.812,1518.25,1000,0,0,0,0,0,0,0,12,46957,0,0,0,0,63861520,0,0,10.3199,1000,0,0,0,0
50551,797161664,679347,679347,0,43.103,1373.65,1000,0,0,0,0,0,0,0,12,47944,0,0,0,0,65203840,0,0,10.3188,1000,0,0,0,0
51610,797161664,679347,679347,0,43.12,1415.1,1000,0,0,0,0,0,0,0,12,48951,0,0,0,0,66573360,0,0,10.3193,1000,0,0,0,0
52659,797161664,679347,679347,0,42.904,1496.27,1000,0,0,0,0,0,0,0,12,49949,0,0,0,0,67930640,0,0,10.32,1000,0,0,0,0
53708,797161664,679347,679347,0,43.395,1374.46,1000,0,0,0,0,0,0,0,12,50946,0,0,0,0,69286560,0,0,10.3204,1000,0,0,0,0
54768,797161664,679347,679347,0,44.332,1428.58,1000,0,0,0,0,0,0,0,12,51948,0,0,0,0,70649280,0,0,10.3197,1000,0,0,0,0
55811,797161664,679347,679347,0,44.012,1238.87,1000,0,0,0,0,0,0,0,12,52944,0,0,0,0,72003840,0,0,10.321,1000,0,0,0,0
56873,797161664,679347,679347,0,43.61,1809.24,1000,0,0,0,0,0,0,0,12,53946,0,0,0,0,73366560,0,0,10.32,1000,0,0,0,0
57920,797161664,679347,679347,0,43.473,1209.49,1000,0,0,0,0,0,0,0,12,54948,0,0,0,0,74729280,0,0,10.3216,1000,0,0,0,0
58980,797161664,679347,679347,0,43.611,1354.4,1000,0,0,0,0,0,0,0,12,55951,0,0,0,0,76093360,0,0,10.3212,1000,0,0,0,0
60029,797161664,679347,679347,0,43.056,1402.25,1000,0,0,0,0,0,0,0,12,56948,0,0,0,0,77449280,0,0,10.3215,1000,0,0,0,0
61076,797161664,679347,679347,0,43.106,1405.16,1000,0,0,0,0,0,0,0,12,57945,0,0,0,0,78805200,0,0,10.3222,1000,0,0,0,0
62136,797161664,679347,679347,0,43.594,1382.5,1000,0,0,0,0,0,0,0,12,58952,0,0,0,0,80174720,0,0,10.3224,1000,0,0,0,0
63186,797161664,679347,679347,0,43.813,1452.79,1000,0,0,0,0,0,0,0,12,59949,0,0,0,0,81530640,0,0,10.3225,1000,0,0,0,0
64239,797161664,679347,679347,0,43.653,1209.89,1000,0,0,0,0,0,0,0,12,60954,0,0,0,0,82897440,0,0,10.3235,1000,0,0,0,0
65292,797161664,679347,679347,0,91.762,1246.76,1000,0,0,0,0,0,0,0,12,61939,0,0,0,0,84237040,0,0,10.3212,1000,0,0,0,0
66346,797161664,679347,679347,0,127.837,1478.09,1000,0,0,0,0,0,0,0,12,62831,0,0,0,0,85450160,0,0,10.3035,1000,0,0,0,0
